Datetime,Close,High,Low,Open,Volume
2025-06-01 22:00:00+00:00,112.96875,113.09375,112.90625,112.96875,0.0
2025-06-01 22:01:00+00:00,112.90625,112.96875,112.90625,112.96875,57.0
2025-06-01 22:02:00+00:00,112.9375,112.96875,112.9375,112.9375,20.0
2025-06-01 22:03:00+00:00,112.9375,112.96875,112.90625,112.9375,251.0
2025-06-01 22:04:00+00:00,112.90625,112.9375,112.90625,112.9375,2.0
2025-06-01 22:05:00+00:00,112.96875,112.96875,112.9375,112.9375,122.0
2025-06-01 22:06:00+00:00,112.9375,112.96875,112.9375,112.96875,43.0
2025-06-01 22:07:00+00:00,112.9375,113.40625,112.90625,113.375,176.0
2025-06-01 22:08:00+00:00,112.90625,112.9375,112.90625,112.90625,92.0
2025-06-01 22:09:00+00:00,112.9375,112.96875,112.9375,112.9375,137.0
2025-06-01 22:10:00+00:00,112.90625,112.90625,112.90625,112.90625,60.0
2025-06-01 22:11:00+00:00,112.90625,112.90625,112.90625,112.90625,77.0
2025-06-01 22:12:00+00:00,112.9375,112.9375,112.9375,112.9375,108.0
2025-06-01 22:13:00+00:00,112.90625,112.9375,112.90625,112.90625,63.0
2025-06-01 22:14:00+00:00,112.875,112.875,112.84375,112.875,75.0
2025-06-01 22:15:00+00:00,112.84375,113.28125,112.84375,112.84375,116.0
2025-06-01 22:16:00+00:00,112.84375,112.84375,112.8125,112.8125,138.0
2025-06-01 22:17:00+00:00,112.8125,112.84375,112.78125,112.8125,198.0
2025-06-01 22:18:00+00:00,112.84375,112.84375,112.8125,112.8125,103.0
2025-06-01 22:19:00+00:00,112.84375,112.84375,112.84375,112.84375,9.0
2025-06-01 22:20:00+00:00,112.875,112.875,112.875,112.875,2.0
2025-06-01 22:21:00+00:00,112.875,112.875,112.875,112.875,10.0
2025-06-01 22:22:00+00:00,112.875,112.875,112.84375,112.84375,11.0
2025-06-01 22:27:00+00:00,112.875,112.875,112.875,112.875,20.0
2025-06-01 22:29:00+00:00,112.84375,112.875,112.84375,112.875,127.0
2025-06-01 22:32:00+00:00,112.8125,112.84375,112.8125,112.84375,92.0
2025-06-01 22:33:00+00:00,112.84375,112.84375,112.84375,112.84375,3.0
2025-06-01 22:34:00+00:00,112.84375,112.84375,112.84375,112.84375,28.0
