Date,"Volatility of Returns (Session:US Close 15-17 ET, Interval:1h, Symbol:ZN)",All Data ZScore,Current data (Latest 2 weeks) ZScore
2024-12-23,1.75,-0.39047179405043336,-0.12269377914491097
2024-12-26,1.25,-0.6409378269169025,-0.8588564540143775
2024-12-27,1.5,-0.5157048104836679,-0.4907751165796442
2024-12-30,1.75,-0.39047179405043336,-0.12269377914491097
2024-12-31,1.25,-0.6409378269169025,-0.8588564540143775
2025-01-02,1.75,-0.39047179405043336,-0.12269377914491097
2025-01-03,1.0,-0.7661708433501371,-1.2269377914491106
2025-01-06,3.0,0.23569328811573942,1.7177129080287552
2025-01-07,1.75,-0.39047179405043336,-0.12269377914491097
2025-01-08,3.5,0.48615932098220854,2.4538755828982217
2025-01-10,2.25,-0.14000576118396427,0.6134688957245555
2025-01-13,2.25,-0.14000576118396427,0.6134688957245555
2025-01-14,1.25,-0.6409378269169025,-0.8588564540143775
2025-01-15,1.5,-0.5157048104836679,-0.4907751165796442
2025-01-16,1.75,-0.39047179405043336,-0.12269377914491097
