,London 0-7 ET,US Open 7-10 ET,US Mid 10-15 ET,US Close 15-17 ET,Asia 18-24 ET,All day
count,36.0,36.0,46.0,36.0,36.0,48.0
mean,3.0069444444444446,1.6180555555555556,0.9728260869565217,0.9027777777777778,1.5555555555555556,3.1979166666666665
std,2.2059061234324604,1.2782327519876684,0.8303751843955258,1.6391175519792194,1.1848916633887903,2.921835592046609
min,0.0,0.0,0.0,0.25,0.0,0.0
5%,0.1875,0.1875,0.25,0.25,0.1875,0.08750000000000002
25%,1.0,0.75,0.5,0.25,0.75,1.0
50%,2.625,1.375,0.75,0.375,1.125,2.25
68%,4.4,2.2,1.0,0.7000000000000002,2.0,3.75
90%,5.625,3.25,1.75,1.75,3.125,7.075000000000001
95%,6.25,3.5625,2.375,2.0625,3.6875,8.724999999999998
99%,7.712499999999997,5.049999999999997,3.799999999999997,7.38749999999999,4.4125,11.855000000000004
99.7%,8.263750000000007,5.540000000000006,4.115000000000002,9.041250000000021,4.473750000000001,13.006500000000006
max,8.5,5.75,4.25,9.75,4.5,13.5
