Date,"Volatility of Returns (Session:London 0-7 ET, Interval:15m, Symbol:ZN)",All Data ZScore,Current data (Latest 2 weeks) ZScore
2024-12-23,4.5,-0.973674585098537,-0.5850530311987927
2024-12-24,2.0,-1.9929482554496223,-1.5823025161967348
2024-12-26,3.5,-1.3813840532389712,-0.9839528251979696
2024-12-27,4.75,-0.8717472180634285,-0.4853280826989985
2024-12-30,7.5,0.24945381932276547,0.6116463507987377
2024-12-31,6.0,-0.3621103828878858,0.013296659799972514
2025-01-02,8.0,0.45330855339298254,0.8110962477983262
2025-01-03,5.0,-0.76981985102832,-0.38560313419920433
2025-01-06,7.5,0.24945381932276547,0.6116463507987377
2025-01-07,8.0,0.45330855339298254,0.8110962477983262
2025-01-08,6.25,-0.2601830158527772,0.11302160829976672
2025-01-09,4.0,-1.1775293191687541,-0.7845029281983812
2025-01-10,12.5,2.2880011600249364,2.606145320794622
2025-01-13,4.75,-0.8717472180634285,-0.4853280826989985
2025-01-14,5.25,-0.6678924839932113,-0.2858781856994101
