,London 0-7 ET,US Open 7-10 ET,US Mid 10-15 ET,US Close 15-17 ET,Asia 18-24 ET,All day
count,363.0,368.0,368.0,361.0,343.0,453.0
mean,2.244490358126722,3.0815217391304346,2.0122282608695654,0.5790193932868786,1.3214285714285714,4.762158795960957
std,1.943159115987391,2.652721777319287,1.8020726583606823,0.7772177886354046,1.3546810763841983,4.548465591789606
min,0.0,0.0,0.0,0.0,0.0,0.0
5%,0.25,0.25,0.25,0.0,0.0,0.25
25%,0.75,1.25,0.75,0.0,0.5,1.25
50%,2.0,2.5,1.5,0.25,1.0,3.75
68%,2.75,3.5,2.3900000000000077,0.75,1.5,5.75
90%,4.450000000000003,6.25,4.0,1.5,2.5,10.5
95%,5.25,8.162499999999994,5.0,2.0,3.5,13.099999999999994
99%,8.759999999999991,12.582499999999996,8.332499999999996,3.5,5.144999999999996,20.99000000000001
99.7%,11.75,14.649000000000001,11.497500000000002,4.210000000000008,7.210999999999984,23.911
max,19.0,16.75,14.25,4.5,15.75,26.5
