"(Vol Return Stats:- Interval:15m, Symbol:ZN)",London 0-7 ET,US Open 7-10 ET,US Mid 10-15 ET,US Close 15-17 ET,Asia 18-24 ET,All day
count,86.0,86.0,101.0,94.0,104.0,115.0
mean,5.636627906976744,4.3023255813953485,4.05202008237933,2.2340633311170213,4.103365384615385,8.895687202785323
std,2.6859265508178938,2.599806632817867,2.623273040689234,2.074150352185123,2.9820682894047943,5.707208879193585
min,1.75,1.25,0.5,0.5,0.5,1.5
5%,2.5,1.75,1.25,0.75,1.75,2.5
25%,3.8125,2.5625,2.25,1.0625,2.5,5.75
50%,5.25,3.75,3.25,1.5,3.25,7.75
68%,5.75,4.5,4.0,2.25,4.0,9.75
90%,8.5,6.625,7.75,3.9250000000000007,7.525000000000002,15.350000000000009
95%,11.125,9.875,10.0,5.537499999999987,9.25,19.15
99%,15.575000000000003,14.01250000000001,12.0,11.534999999999997,14.629999999999995,31.239999999999995
99.7%,15.872500000000002,15.053750000000008,12.0,11.860500000000002,20.10525000000002,36.283500000000004
max,16.0,15.5,12.0,12.0,22.5,38.25
