,London 0-7 ET,US Open 7-10 ET,US Mid 10-15 ET,US Close 15-17 ET,Asia 18-24 ET,All day
count,52.0,54.0,54.0,49.0,52.0,69.0
mean,2.173076923076923,2.412037037037037,2.587962962962963,0.826530612244898,1.2115384615384615,3.4094202898550723
std,1.4378790732397961,2.177369348921134,2.119183163773543,0.7166256316364684,1.8651766300371668,3.3781224702044055
min,0.0,0.0,0.0,0.0,0.0,0.0
5%,0.25,0.25,0.1625000000000001,0.0,0.0,0.25
25%,1.0,0.75,0.75,0.25,0.5,0.75
50%,2.0,1.75,2.375,0.75,0.75,2.75
68%,2.67,2.51,3.5,1.0,1.25,4.25
90%,4.0,5.25,5.350000000000001,2.0,2.2249999999999996,6.950000000000003
95%,5.25,6.512499999999996,6.0,2.1499999999999986,2.75,9.849999999999994
99%,5.3725000000000005,9.057499999999997,8.409999999999997,2.629999999999999,8.02250000000002,14.119999999999976
99.7%,5.46175,9.892250000000002,9.523000000000003,2.7140000000000004,11.681750000000013,15.786000000000023
max,5.5,10.25,10.0,2.75,13.25,16.5
