"(Return Stats:- Interval:1m, Symbol:ZN)",London 0-7 ET,US Open 7-10 ET,US Mid 10-15 ET,US Close 15-17 ET,Asia 18-24 ET,All day
count,151.0,153.0,152.0,144.0,168.0,194.0
mean,2.089403973509934,1.988562091503268,2.9588815789473686,1.0815972222222223,1.6354166666666667,4.0
std,1.7945158053685233,1.798514525313604,2.298762278351907,1.1045953998975133,2.013029074031026,4.091172729245018
min,0.0,0.0,0.0,0.0,0.0,0.0
5%,0.25,0.25,0.25,0.0,0.25,0.25
25%,0.75,0.75,1.25,0.25,0.5,1.0
50%,1.75,1.5,2.625,0.75,1.25,3.0
68%,2.5,2.25,3.75,1.25,1.75,4.810000000000002
90%,4.25,4.0,5.975000000000001,2.25,3.075000000000003,8.925000000000004
95%,5.125,5.350000000000001,7.0,2.9624999999999986,4.0,11.587499999999999
99%,8.625,8.119999999999997,8.872500000000002,5.60499999999999,9.562500000000078,16.867499999999964
99.7%,9.437500000000014,9.610000000000028,11.871749999999984,6.820999999999998,15.995499999999979,25.64424999999993
max,10.0,10.75,14.25,7.25,18.25,31.0
