"(Return Stats:- Interval:1m, Symbol:ZT)",London 0-7 ET,US Open 7-10 ET,US Mid 10-15 ET,US Close 15-17 ET,Asia 18-24 ET,All day
count,88.0,88.0,88.0,82.0,105.0,117.0
mean,0.49573866363636204,0.6491476909090931,0.8330966181818166,0.3231707024390261,0.409523832380951,0.9722221811965837
std,0.5322565064049014,0.7464253466309198,1.1315153517079708,0.4972731278842989,0.42407114929132134,1.0889656815765296
min,0.0,0.0,0.0,0.0,0.0,0.0
5%,0.0625,0.021875000000000033,0.0625,0.0,0.01249984000000951,0.0625
25%,0.1875,0.1874992000000475,0.25,0.125,0.125,0.1875
50%,0.31250039999997625,0.43750039999997625,0.5,0.1875,0.3125,0.6875
68%,0.5100000000000002,0.6875,0.8125,0.3125,0.4375005759999658,0.9375
90%,1.0999999999999996,1.25,1.8499999999999996,0.675000079999996,0.8125,2.5250000000000004
95%,1.3124997200000166,1.9093749999999963,3.2281249999999995,0.875,1.1124999999999998,3.3125
99%,2.583749999999995,3.711874896000005,5.638124999999995,1.7456249999999933,2.4099999999999957,5.400000000000002
99.7%,3.268875000000005,3.826061908800036,6.285187500000005,3.4111875000000147,2.4375005503999674,5.5815
max,3.5625,3.8749992000000475,6.5625,4.125,2.4375007999999525,5.625
