"(Return Stats:- Interval:1m, Symbol:ZT)",London 0-7 ET,US Open 7-10 ET,US Mid 10-15 ET,US Close 15-17 ET,Asia 18-24 ET,All day
count,105.0,106.0,106.0,99.0,125.0,139.0
mean,0.48214287999999866,0.6249999698113226,0.8119103999999987,0.31565654141414284,0.41050001919999884,0.9599819798561171
std,0.5017782459458443,0.6893103572205362,1.063899466255745,0.4577470319834987,0.41185925925288314,1.0377555544206802
min,0.0,0.0,0.0,0.0,0.0,0.0
5%,0.0625,0.0625,0.0625,0.0,0.01249984000000951,0.06250071999995725
25%,0.1875,0.203125,0.25,0.125,0.1874992000000475,0.25
50%,0.3125,0.43750039999997625,0.5,0.1875,0.3125,0.6875
68%,0.5449999999999999,0.6875,0.8125,0.3125,0.4375007999999525,0.9900000000000002
90%,1.0375000000000005,1.25,1.875,0.5625001599999905,0.8875000000000011,2.250000000000001
95%,1.299999360000038,1.5625,2.9375,0.875,1.1124999999999998,3.0874999999999986
99%,2.399999999999994,3.6781250000000005,5.4562500000000025,1.2462499999999883,2.2725000000000035,5.262500000000003
99.7%,3.2115000000000027,3.815936952000033,6.227812500000002,3.261375000000009,2.43750050239997,5.573250000000002
max,3.5625,3.8749992000000475,6.5625,4.125,2.4375007999999525,5.625
