"(Return Stats:- Interval:1m, Symbol:ZT)",London 0-7 ET,US Open 7-10 ET,US Mid 10-15 ET,US Close 15-17 ET,Asia 18-24 ET,All day
count,88.0,89.0,89.0,83.0,106.0,117.0
mean,0.49431820909090746,0.6481741213483168,0.8286517123595489,0.3245481638554234,0.41627360754716847,0.9738247452991478
std,0.5332544315004275,0.7422290054816167,1.1258491064562126,0.49439097006448995,0.42772995673097836,1.0879383801597207
min,0.0,0.0,0.0,0.0,0.0,0.0
5%,0.0625,0.025000000000000022,0.0625,0.0,0.015624800000011874,0.0625
25%,0.1875,0.1874992000000475,0.25,0.125,0.14062480000001187,0.25
50%,0.31250039999997625,0.4375007999999525,0.5,0.1875,0.3125,0.6875
68%,0.5100000000000002,0.6875,0.8124998720000076,0.3125,0.4375007999999525,0.9375
90%,1.0999999999999996,1.25,1.8375000000000004,0.6625001599999901,0.875,2.5250000000000004
95%,1.3124997200000166,1.8874999999999975,3.2249999999999996,0.875,1.125,3.3125
99%,2.583749999999995,3.7099999040000067,5.627500000000005,1.7162499999999783,2.403125000000002,5.400000000000002
99.7%,3.268875000000005,3.8254994112000356,6.2820000000000045,3.4023750000000144,2.4375005479999676,5.5815
max,3.5625,3.8749992000000475,6.5625,4.125,2.4375007999999525,5.625
