"(Return Stats:- Interval:15m, Symbol:ZN)",London 0-7 ET,US Open 7-10 ET,US Mid 10-15 ET,US Close 15-17 ET,Asia 18-24 ET,All day
count,130.0,130.0,144.0,132.0,142.0,166.0
mean,2.251923076923077,1.8134615384615385,2.3020833333333335,1.0700757575757576,1.8591549295774648,4.176204819277109
std,1.9149797481690076,1.9287983613287008,2.0191121343770906,1.457513566229727,2.0170955500660086,4.171718277652249
min,0.0,0.0,0.0,0.0,0.0,0.0
5%,0.25,0.25,0.25,0.0,0.25,0.5
25%,0.75,0.5,0.75,0.25,0.75,1.25
50%,1.75,1.375,1.75,0.5,1.5,3.25
68%,2.9300000000000033,1.75,2.75,1.0,2.0,4.800000000000001
90%,4.775000000000002,3.5,5.25,2.25,3.950000000000003,8.75
95%,5.637499999999999,4.549999999999997,6.5,3.0,4.5,12.0625
99%,8.427499999999998,10.024999999999984,8.534999999999997,6.939999999999998,7.192500000000003,17.524999999999963
99.7%,8.65325,12.129249999999999,9.320999999999998,9.829749999999997,13.70274999999998,26.421249999999958
max,8.75,13.0,9.75,11.5,18.25,31.0
