"(Return Stats:- Interval:15m, Symbol:ZN)",London 0-7 ET,US Open 7-10 ET,US Mid 10-15 ET,US Close 15-17 ET,Asia 18-24 ET,All day
count,83.0,83.0,98.0,91.0,98.0,110.0
mean,2.3463855421686746,1.9698795180722892,2.0051020408163267,1.085164835164835,2.0841836734693877,4.3522727272727275
std,1.8978611699163421,2.193879231605071,1.965219352357998,1.5111712621799633,2.301933263459525,4.69594977918282
min,0.0,0.0,0.0,0.0,0.0,0.0
5%,0.25,0.25,0.21250000000000013,0.0,0.21250000000000013,0.25
25%,0.75,0.625,0.5,0.25,0.75,1.0
50%,1.75,1.5,1.5,0.75,1.5,3.25
68%,3.0,2.1900000000000013,2.25,1.0,2.25,5.25
90%,5.199999999999999,3.5,4.574999999999999,2.25,4.324999999999999,9.025000000000002
95%,5.724999999999998,6.449999999999974,6.074999999999996,3.125,5.1499999999999915,13.3875
99%,7.269999999999989,11.154999999999983,8.780000000000001,6.77499999999997,7.822500000000012,21.164999999999978
99.7%,8.131000000000007,12.446500000000011,9.459000000000003,10.082500000000021,15.121750000000034,27.975250000000017
max,8.5,13.0,9.75,11.5,18.25,31.0
