"(Return Stats:- Interval:15m, Symbol:ZN)",London 0-7 ET,US Open 7-10 ET,US Mid 10-15 ET,US Close 15-17 ET,Asia 18-24 ET,All day
count,96.0,95.0,110.0,103.0,114.0,127.0
mean,2.2630208333333335,1.9131578947368422,2.1636363636363636,1.0631067961165048,1.9210526315789473,4.2263779527559056
std,1.8497403059784916,2.0985584024327397,1.977057737585861,1.4436806373296067,2.1873823076996075,4.471407517700811
min,0.0,0.0,0.0,0.0,0.0,0.0
5%,0.25,0.25,0.25,0.0,0.1625000000000001,0.25
25%,0.75,0.5,0.75,0.25,0.75,1.0
50%,1.75,1.5,1.75,0.75,1.375,3.25
68%,3.0,2.0,2.5,1.0,2.0,5.090000000000003
90%,4.875,3.5,4.800000000000004,2.25,4.175000000000001,8.75
95%,5.5625,4.824999999999992,6.274999999999999,3.0,4.837499999999999,12.949999999999989
99%,7.074999999999996,10.885000000000005,8.637499999999996,6.220000000000006,7.402500000000003,20.059999999999967
99.7%,8.072500000000005,12.365500000000008,9.423000000000002,9.893500000000014,14.605750000000015,27.5035
max,8.5,13.0,9.75,11.5,18.25,31.0
