,London 0-7 ET,US Open 7-10 ET,US Mid 10-15 ET,US Close 15-17 ET,Asia 18-24 ET,All day
count,361.0,366.0,366.0,360.0,341.0,450.0
mean,2.2506925207756234,3.077185792349727,2.0075136612021858,0.57854444715712,1.317448680351906,4.758906521267363
std,1.9467296842466957,2.6477604914684316,1.8029024069133515,0.7786943238975453,1.3579273570104444,4.552863464083133
min,0.0,0.0,0.0,0.0,0.0,0.0
5%,0.25,0.25,0.25,0.0,0.0,0.25
25%,0.75,1.25,0.75,0.0,0.5,1.25
50%,2.0,2.5,1.5,0.25,1.0,3.75
68%,2.75,3.5,2.5,0.75,1.5,5.75
90%,4.5,6.25,4.0,1.5,2.5,10.525000000000006
95%,5.25,8.1875,5.0,2.012500000000003,3.5,13.137499999999989
99%,8.799999999999955,12.587500000000006,8.337500000000006,3.5,5.150000000000006,21.004999999999995
99.7%,11.75,14.654999999999973,11.512499999999932,4.211500000000001,7.220000000000027,23.913250000000005
max,19.0,16.75,14.25,4.5,15.75,26.5
