"(Return Stats:- Interval:1h, Symbol:ZN)",London 0-7 ET,US Open 7-10 ET,US Mid 10-15 ET,US Close 15-17 ET,Asia 18-24 ET,All day
count,471.0,471.0,474.0,459.0,528.0,602.0
mean,2.194267515923567,2.609872611464968,2.4725738396624473,1.1411066325401693,1.5137310606060606,4.388298972500519
std,1.9449741683418338,2.2094461577877755,2.216371174635227,1.2243209960703578,1.5919555538422294,4.03842218046287
min,0.0,0.0,0.0,0.0,0.0,0.0
5%,0.25,0.25,0.25,0.0,0.0,0.25
25%,0.75,1.0,0.75,0.25,0.5,1.25
50%,1.75,2.0,2.0,0.75,1.25,3.5
68%,2.5,3.0,3.0,1.25,1.75,5.420000000000002
90%,4.25,5.5,5.25,2.5,3.0,10.0
95%,5.375,7.0,6.75,3.2749999999999915,4.0,12.0
99%,10.225000000000009,10.75,9.384999999999991,6.355000000000004,6.980000000000018,16.5
99.7%,12.634999999999962,11.589999999999975,11.185750000000013,8.062999999999988,12.587999999999965,22.341000000000008
max,13.5,15.0,19.75,9.0,18.25,31.0
