,London 0-7 ET,US Open 7-10 ET,US Mid 10-15 ET,US Close 15-17 ET,Asia 18-24 ET,All day
count,362.0,367.0,367.0,360.0,342.0,451.0
mean,2.2479281767955803,3.071525885558583,2.005449591280654,0.5778500027126755,1.3179824561403508,4.75500650680779
std,1.9447428574314751,2.646234021380726,1.8032409353954613,0.7790995083921244,1.3558355551014416,4.548800306266229
min,0.0,0.0,0.0,0.0,0.0,0.0
5%,0.25,0.25,0.25,0.0,0.0,0.25
25%,0.75,1.25,0.75,0.0,0.5,1.25
50%,2.0,2.5,1.5,0.25,1.0,3.75
68%,2.75,3.5,2.25,0.75,1.5,5.75
90%,4.4750000000000085,6.25,4.0,1.5,2.5,10.5
95%,5.25,8.174999999999997,5.0,2.012500000000003,3.5,13.125
99%,8.779999999999973,12.584999999999994,8.334999999999994,3.5,5.147499999999994,21.0
99.7%,11.75,14.651999999999987,11.504999999999967,4.211500000000001,7.215499999999963,23.912499999999994
max,19.0,16.75,14.25,4.5,15.75,26.5
