,London 0-7 ET,US Open 7-10 ET,US Mid 10-15 ET,US Close 15-17 ET,Asia 18-24 ET,All day
count,50.0,51.0,51.0,48.0,50.0,67.0
mean,4.175,5.299019607843137,5.240196078431373,2.1979166666666665,3.175,7.526119402985074
std,1.675338832619131,2.85526689113432,2.160995594809095,1.0568398464256104,3.088924421482768,4.133229698807298
min,1.25,0.75,1.75,1.0,1.25,1.25
5%,1.8625,2.5,2.5,1.25,1.3625,1.75
25%,3.125,3.375,3.75,1.5,2.0,4.625
50%,3.75,4.5,5.0,2.0,2.5,7.25
68%,4.58,5.75,5.75,2.25,3.25,8.75
90%,6.050000000000001,8.5,8.0,3.575000000000001,4.275,11.5
95%,6.912499999999998,11.125,9.625,4.574999999999999,4.774999999999999,13.624999999999995
99%,9.024999999999995,14.5,11.125,5.25,14.797499999999966,20.940000000000012
99.7%,9.882500000000004,14.850000000000001,11.2125,5.25,20.71425000000003,22.557000000000023
max,10.25,15.0,11.25,5.25,23.25,23.25
