,London 0-7 ET,US Open 7-10 ET,US Mid 10-15 ET,US Close 15-17 ET,Asia 18-24 ET,All day
count,365.0,370.0,370.0,363.0,345.0,455.0
mean,4.9349753183861305,6.832432432432433,6.033783783783784,2.5551350911458313,3.55,9.773112068595466
std,2.906678709394034,3.913871450519882,3.2348574493092426,2.028534873594894,2.417880943267049,5.628801777405877
min,1.5,1.0,1.0,0.5,1.25,1.25
5%,2.25,2.75,2.5,1.0,1.5,2.5
25%,3.25,4.25,3.75,1.5,2.25,5.75
50%,4.25,5.75,5.5,2.0,3.0,9.0
68%,5.0,7.25,6.75,2.25,3.5,11.0
90%,8.150000000000006,12.0,10.25,4.75,5.900000000000006,16.650000000000006
95%,10.0,15.525000000000006,12.5,8.0,8.950000000000003,20.75
99%,16.56000000000003,20.25,16.792500000000004,10.594999999999999,12.530000000000001,27.614999999999995
99.7%,21.63500000000002,21.892999999999972,19.366249999999965,11.228499999999997,14.960000000000022,31.25
max,26.75,25.5,24.75,11.5,23.25,43.25
