,London 0-7 ET,US Open 7-10 ET,US Mid 10-15 ET,US Close 15-17 ET,Asia 18-24 ET,All day
count,36.0,36.0,45.0,35.0,35.0,47.0
mean,7.0,3.9375,2.7222222222222223,1.9071428571428573,3.65,7.898936170212766
std,2.4849547279578355,1.449599698438947,1.5992027685535988,1.9899432026014794,1.8778899297443643,3.7923906845857593
min,2.0,1.75,0.75,0.75,0.5,2.0
5%,3.875,1.75,1.05,0.75,1.5,3.25
25%,5.4375,2.75,1.75,1.0,2.5,5.625
50%,6.375,4.0,2.25,1.25,3.25,7.25
68%,7.5,4.5,3.2300000000000004,1.75,3.7800000000000002,8.5
90%,10.75,6.125,4.050000000000001,3.75,5.800000000000001,12.299999999999999
95%,12.0,6.5625,5.149999999999999,3.8249999999999993,6.524999999999995,13.449999999999996
99%,12.325,6.9125,8.13000000000001,9.279999999999973,9.234999999999992,19.394999999999996
99.7%,12.447500000000002,6.973750000000001,9.439000000000009,11.184000000000026,9.770500000000007,21.568500000000014
max,12.5,7.0,10.0,12.0,10.0,22.5
