,London 0-7 ET,US Open 7-10 ET,US Mid 10-15 ET,US Close 15-17 ET,Asia 18-24 ET,All day
count,36.0,35.0,44.0,35.0,35.0,47.0
mean,6.701388888888889,3.9214285714285713,2.75,1.9071428571428573,3.65,7.664893617021277
std,2.450815785789094,1.4675051715654799,1.6066721348293838,1.9899432026014794,1.8778899297443643,3.825783734620765
min,1.75,1.75,0.75,0.75,0.5,1.75
5%,3.125,1.75,1.0375,0.75,1.5,3.075
25%,5.1875,2.75,1.75,1.0,2.5,5.25
50%,6.25,4.0,2.25,1.25,3.25,7.25
68%,7.5,4.5,3.25,1.75,3.7800000000000002,8.32
90%,10.0,6.15,4.100000000000001,3.75,5.800000000000001,12.0
95%,11.4375,6.574999999999999,5.175000000000001,3.8249999999999993,6.524999999999995,13.449999999999996
99%,12.0,6.914999999999999,8.172500000000001,9.279999999999973,9.234999999999992,19.394999999999996
99.7%,12.0,6.974500000000001,9.45175000000001,11.184000000000026,9.770500000000007,21.568500000000014
max,12.0,7.0,10.0,12.0,10.0,22.5
