,London 0-7 ET,US Open 7-10 ET,US Mid 10-15 ET,US Close 15-17 ET,Asia 18-24 ET,All day
count,49.0,51.0,51.0,48.0,50.0,66.0
mean,2.2346938775510203,2.357843137254902,2.6666666666666665,0.8334579467773485,1.21,3.344606341737686
std,1.4572092363498803,2.1367351859558923,2.148642982597776,0.7131997515462537,1.8947833864673427,3.388487058625199
min,0.0,0.0,0.0,0.0,0.0,0.0
5%,0.25,0.25,0.125,0.0,0.0,0.25
25%,1.0,0.75,0.75,0.25,0.5,0.75
50%,2.0,1.75,2.5,0.75,0.75,2.75
68%,2.75,2.5,3.5,1.0,1.08,4.25
90%,4.200000000000003,5.25,5.5,2.0,2.25,6.25
95%,5.25,5.875,6.0,2.1624999999999996,2.75,10.0
99%,5.379999999999999,9.125,8.5,2.6325000000000003,8.22749999999998,14.22499999999998
99.7%,5.464,9.912500000000003,9.550000000000004,2.7147500000000004,11.743250000000016,15.817500000000024
max,5.5,10.25,10.0,2.75,13.25,16.5
