,London 0-7 ET,US Open 7-10 ET,US Mid 10-15 ET,US Close 15-17 ET,Asia 18-24 ET,All day
count,51.0,53.0,53.0,49.0,51.0,68.0
mean,4.200980392156863,5.254716981132075,5.165094339622642,2.2244897959183674,3.1715686274509802,7.5625
std,1.61865654776047,2.8218287876519867,2.1622545415531778,1.062187328943773,3.0579773527931953,4.052909172581348
min,1.75,0.75,1.75,1.0,1.25,1.5
5%,2.0,2.55,2.25,1.25,1.375,1.8375
25%,3.25,3.25,3.75,1.5,2.0,4.6875
50%,3.75,4.5,5.0,2.0,2.5,7.25
68%,4.5,5.59,5.75,2.25,3.25,8.75
90%,6.0,8.450000000000001,7.900000000000002,3.5500000000000007,4.25,11.5
95%,6.875,10.949999999999998,9.449999999999998,4.549999999999997,4.75,13.562499999999998
99%,9.0,14.479999999999997,11.12,5.25,14.625,20.904999999999994
99.7%,9.875000000000004,14.844000000000001,11.211,5.25,20.662500000000023,22.546500000000023
max,10.25,15.0,11.25,5.25,23.25,23.25
