"(Vol Return Stats:- Interval:1m, Symbol:ZF)",London 0-7 ET,US Open 7-10 ET,US Mid 10-15 ET,US Close 15-17 ET,Asia 18-24 ET,All day
count,142.0,143.0,142.0,134.0,156.0,182.0
mean,2.8451692822953363,3.13986013986014,3.767605633802817,1.813447411380597,2.420673076923077,5.588609632554945
std,1.7087843285510855,1.7647448189684638,2.330827153449783,1.531831615084277,2.1436368016977716,3.6048491709787047
min,0.875,0.5,0.5,0.375,0.75,0.875
5%,1.2639038085937502,1.25,1.13125,0.625,0.875,1.5
25%,1.75,1.875,2.25,1.0,1.25,3.375
50%,2.375,2.625,3.25,1.25,1.75,4.875
68%,2.875,3.3200000000000003,4.125,1.750859375,2.125,6.260000000000002
90%,4.837500000000002,5.85,6.362500000000001,3.625,4.4375,8.875
95%,6.593749999999993,6.75,7.493749999999999,4.262499999999996,6.3125,13.724999999999994
99%,9.69625000000001,8.697500000000002,12.942500000000003,7.877499999999991,12.793749999999996,16.278749999999995
99.7%,11.307749999999999,9.324000000000012,13.682749999999999,9.552374999999998,14.337499999999991,21.827374999999947
max,11.625,9.75,14.0,10.5,15.5,26.375
