Date,"Volatility of Returns (Session:US Open 7-10 ET, Interval:1h, Symbol:ZN)",All Data ZScore,Current data (Latest 2 weeks) ZScore
2024-12-24,1.0,-1.495862273226471,-1.0767224755585496
2024-12-26,2.0,-1.237197671330866,-0.7994548852859618
2024-12-27,2.75,-1.0431992199091622,-0.5915041925815209
2024-12-30,5.5,-0.331871564696248,0.17098168066809574
2024-12-31,3.0,-0.9785330694352609,-0.5221872950133739
2025-01-02,4.25,-0.6552023170657544,-0.1756028071726391
2025-01-03,3.0,-0.9785330694352609,-0.5221872950133739
2025-01-06,6.0,-0.20253926374844544,0.30961547580438964
2025-01-07,2.25,-1.1725315208569647,-0.7301379877178148
2025-01-08,5.5,-0.331871564696248,0.17098168066809574
2025-01-09,2.75,-1.0431992199091622,-0.5915041925815209
2025-01-10,12.5,1.478780648572988,2.111854812576211
2025-01-13,4.0,-0.7198684675396557,-0.24491970474078606
2025-01-14,5.25,-0.3965377151701493,0.10166478309994877
2025-01-15,13.5,1.737445250468593,2.3891224028487987
