Date,"Volatility of Returns (Session:US Open 7-10 ET, Interval:1h, Symbol:ZN)",All Data ZScore,Current data (Latest 2 weeks) ZScore
2024-12-24,1.0,-1.5194646725687133,-1.0767224755585496
2024-12-26,2.0,-1.2539653703089735,-0.7994548852859618
2024-12-27,2.75,-1.0548408936141684,-0.5915041925815209
2024-12-30,5.5,-0.324717812399884,0.17098168066809574
2024-12-31,3.0,-0.9884660680492335,-0.5221872950133739
2025-01-02,4.25,-0.6565919402245588,-0.1756028071726391
2025-01-03,3.0,-0.9884660680492335,-0.5221872950133739
2025-01-06,6.0,-0.1919681612700141,0.30961547580438964
2025-01-07,2.25,-1.1875905447440385,-0.7301379877178148
2025-01-08,5.5,-0.324717812399884,0.17098168066809574
2025-01-09,2.75,-1.0548408936141684,-0.5915041925815209
2025-01-10,12.5,1.5337773034182949,2.111854812576211
2025-01-13,4.0,-0.7229667657894937,-0.24491970474078606
2025-01-14,5.25,-0.39109263796481897,0.10166478309994877
2025-01-15,13.5,1.7992766056780347,2.3891224028487987
