"(Vol Return Stats:- Interval:1m, Symbol:ZN)",London 0-7 ET,US Open 7-10 ET,US Mid 10-15 ET,US Close 15-17 ET,Asia 18-24 ET,All day
count,104.0,105.0,105.0,99.0,126.0,139.0
mean,4.375,4.54047619047619,5.464285714285714,2.414141414141414,3.609126984126984,8.29136690647482
std,2.269200706121033,2.3439580188517013,2.949785799636351,1.6782528634492273,3.205385473191334,5.373259502689658
min,1.5,0.75,1.0,0.75,1.25,1.5
5%,2.0,1.8,2.0,1.225,1.5,2.225
25%,3.0,3.25,3.5,1.5,2.25,4.875
50%,3.875,4.0,4.75,2.0,2.75,7.5
68%,4.75,4.75,6.25,2.41,3.25,9.46
90%,6.0,7.3500000000000085,8.75,3.75,5.75,13.8
95%,6.75,9.899999999999999,11.699999999999996,4.75,9.25,17.324999999999996
99%,15.372499999999995,13.149999999999984,15.449999999999992,10.029999999999994,20.5625,29.17500000000004
99.7%,15.845500000000001,13.594000000000001,15.672,11.059000000000005,22.96875,35.86950000000007
max,16.0,13.75,15.75,11.5,23.25,38.25
