,London 0-7 ET,US Open 7-10 ET,US Mid 10-15 ET,US Close 15-17 ET,Asia 18-24 ET,All day
count,363.0,368.0,368.0,361.0,342.0,452.0
mean,2.244490358126722,3.082880434782609,2.0095108695652173,0.577634351735632,1.3194444444444444,4.7693759614387465
std,1.943159115987391,2.6521659169554797,1.8041669237378974,0.7771343792388488,1.3567072378234715,4.551456118648376
min,0.0,0.0,0.0,0.0,0.0,0.0
5%,0.25,0.25,0.25,0.0,0.0,0.25
25%,0.75,1.25,0.75,0.0,0.5,1.25
50%,2.0,2.5,1.5,0.25,1.0,3.75
68%,2.75,3.5,2.3900000000000077,0.75,1.5,5.75
90%,4.450000000000003,6.25,4.0,1.5,2.5,10.5
95%,5.25,8.162499999999994,5.0,2.0,3.5,13.112499999999997
99%,8.759999999999991,12.582499999999996,8.332499999999996,3.5,5.147499999999994,20.995000000000005
99.7%,11.75,14.649000000000001,11.497500000000002,4.210000000000008,7.215499999999963,23.911749999999998
max,19.0,16.75,14.25,4.5,15.75,26.5
