,London 0-7 ET,US Open 7-10 ET,US Mid 10-15 ET,US Close 15-17 ET,Asia 18-24 ET,All day
count,35.0,35.0,44.0,35.0,35.0,46.0
mean,2.8642857142857143,1.5785714285714285,0.9660450328480166,0.8857142857142857,1.6071428571428572,3.0759569251018974
std,2.0213409726543152,1.2887685477803603,0.8379145521564734,1.6598002815971309,1.1839703181607697,2.8060638055843015
min,0.0,0.0,0.0,0.25,0.0,0.0
5%,0.3500000000000001,0.17500000000000004,0.25,0.25,0.25,0.0625
25%,1.0,0.75,0.5,0.25,0.75,1.0
50%,2.5,1.25,0.75,0.25,1.25,2.125
68%,4.090000000000001,2.0300000000000002,1.0,0.5300000000000002,2.0300000000000002,3.75
90%,5.5,3.3000000000000007,1.75,1.75,3.25,6.5
95%,5.899999999999999,3.5749999999999993,2.4250000000000007,2.1249999999999964,3.724999999999998,7.625
99%,6.25,5.069999999999993,3.8200000000000003,7.454999999999977,4.414999999999999,11.587499999999988
99.7%,6.25,5.5460000000000065,4.121000000000002,9.061500000000022,4.474500000000001,12.926250000000008
max,6.25,5.75,4.25,9.75,4.5,13.5
