"(Vol Return Stats:- Interval:1h, Symbol:ZN)",London 0-7 ET,US Open 7-10 ET,US Mid 10-15 ET,US Close 15-17 ET,Asia 18-24 ET,All day
count,476.0,476.0,480.0,465.0,535.0,609.0
mean,4.686495740874475,5.40703781512605,5.130729166666667,2.5672644174227144,3.4560747663551403,8.921642084231323
std,2.758610295347555,2.8149315868359936,2.803539086360465,1.8685496926662304,2.4715962320885727,5.176658684332799
min,1.5,1.0,1.0,0.5,1.0,1.25
5%,2.25,2.25,2.0,1.0,1.5,2.25
25%,3.25,3.5,3.25,1.5,2.25,5.5
50%,4.0,4.75,4.5,2.0,2.75,8.0
68%,4.75,6.0,5.75,2.5,3.5,10.25
90%,7.0,8.75,8.75,4.25,5.5,15.25
95%,9.3125,10.5625,10.5,7.0,8.5,17.75
99%,15.8125,15.375,13.157499999999985,10.430000000000007,13.409999999999968,27.70999999999998
99.7%,21.218749999999986,18.793749999999974,16.703749999999985,11.5,21.898000000000025,33.116000000000156
max,28.25,24.5,30.0,14.75,23.25,38.25
