,London 0-7 ET,US Open 7-10 ET,US Mid 10-15 ET,US Close 15-17 ET,Asia 18-24 ET,All day
count,38.0,38.0,48.0,38.0,38.0,50.0
mean,2.8684210526315788,1.5986842105263157,1.0052083333333333,0.868421052631579,1.506578947368421,3.16
std,2.2275432186371065,1.250053341678367,0.8339370596774952,1.6020856783037196,1.1918740100199452,2.88546675034507
min,0.0,0.0,0.0,0.0,0.0,0.0
5%,0.0,0.21250000000000002,0.25,0.25,0.21250000000000002,0.25
25%,1.0,0.75,0.5,0.25,0.75,1.0
50%,2.5,1.375,0.75,0.375,1.0,2.25
68%,4.08,2.04,1.0,0.54,2.0,3.75
90%,5.575000000000001,3.075000000000001,1.825000000000001,1.75,3.25,7.025
95%,6.25,3.5374999999999996,2.4124999999999996,1.9374999999999982,3.612499999999999,8.574999999999996
99%,7.667500000000006,5.010000000000005,3.780000000000001,7.252500000000017,4.407500000000001,11.784999999999993
99.7%,8.250250000000007,5.528000000000006,4.109000000000002,9.00075000000002,4.472250000000001,12.985500000000005
max,8.5,5.75,4.25,9.75,4.5,13.5
