,London 0-7 ET,US Open 7-10 ET,US Mid 10-15 ET,US Close 15-17 ET,Asia 18-24 ET,All day
count,51.0,52.0,52.0,49.0,51.0,68.0
mean,2.2107843137254903,2.3413461538461537,2.6201923076923075,0.8214285714285714,1.2107843137254901,3.323529411764706
std,1.43297989258364,2.12249208765116,2.139435045808539,0.7107800878846658,1.8837280516436068,3.3613415786077527
min,0.0,0.0,0.0,0.0,0.0,0.0
5%,0.25,0.13750000000000007,0.13750000000000007,0.0,0.0,0.25
25%,1.125,0.75,0.75,0.25,0.5,0.75
50%,2.0,1.75,2.375,0.75,0.75,2.5
68%,2.75,2.5,3.5,1.0,1.25,4.25
90%,4.0,5.199999999999999,5.449999999999999,2.0,2.25,6.400000000000002
95%,5.25,5.837499999999997,6.0,2.1499999999999986,2.75,9.899999999999999
99%,5.375,9.102500000000004,8.470000000000006,2.629999999999999,8.125,14.154999999999994
99.7%,5.4625,9.905750000000003,9.541000000000004,2.7140000000000004,11.712500000000015,15.796500000000023
max,5.5,10.25,10.0,2.75,13.25,16.5
