"(Vol Return Stats:- Interval:1m, Symbol:ZB)",London 0-7 ET,US Open 7-10 ET,US Mid 10-15 ET,US Close 15-17 ET,Asia 18-24 ET,All day
count,97.0,97.0,97.0,91.0,117.0,130.0
mean,9.283629741865328,9.22680412371134,11.329896907216495,5.0054945054945055,7.3760683760683765,17.338492525540865
std,5.816111351169378,4.385119616952634,5.88779042009206,3.2218822185990956,7.024865314362944,12.948630942885858
min,2.5,2.0,2.0,1.5,2.5,2.5
5%,4.4,3.9000000000000004,5.0,2.25,2.5,4.225
25%,6.5,6.5,7.0,3.5,4.0,10.5
50%,8.5,8.5,10.0,4.0,5.0,15.5
68%,10.0,10.5,12.780000000000001,5.0,7.0,19.0
90%,12.5,15.200000000000003,17.5,8.5,11.900000000000006,27.0
95%,15.599999999999994,17.19999999999999,22.69999999999999,9.75,16.299999999999983,33.324999999999996
99%,29.85999999999983,23.679999999999964,29.25999999999995,18.64999999999999,46.32000000000008,76.71
99.7%,44.30800000000007,26.704000000000015,33.62800000000002,19.595000000000006,50.652,88.34049999999999
max,50.5,28.0,35.5,20.0,51.0,95.5
