"(Return Stats:- Interval:1m, Symbol:ZB)",London 0-7 ET,US Open 7-10 ET,US Mid 10-15 ET,US Close 15-17 ET,Asia 18-24 ET,All day
count,111.0,112.0,112.0,105.0,134.0,148.0
mean,4.283783783783784,4.004464285714286,5.705357142857143,2.3,3.5708955223880596,8.672297297297296
std,3.8598290244880147,3.697147388125582,4.312434133942009,2.1049392463368704,5.033404573251083,10.850673642500132
min,0.0,0.0,0.0,0.0,0.0,0.0
5%,0.25,0.0,0.5,0.5,0.0,0.5
25%,1.5,1.5,2.0,1.0,1.5,2.0
50%,3.5,3.0,5.0,2.0,2.5,6.0
68%,5.5,4.5,7.5,2.5,3.5,10.480000000000004
90%,8.0,8.450000000000003,10.5,4.5,6.850000000000001,18.0
95%,10.0,11.624999999999972,13.674999999999983,6.299999999999997,9.5,22.325000000000003
99%,15.450000000000003,15.39,16.5,9.919999999999987,23.549999999999812,58.33000000000001
99.7%,23.54000000000002,19.50200000000001,17.167,11.720000000000006,39.317999999999984,76.63649999999994
max,27.5,21.5,17.5,12.5,46.5,87.0
